CID,Z,c,cerr,x1,x1err,x0,x0err,mb,mberr,MU,MUERR,covx0x1,covx0c,covx1c
90O,0.0306,-0.0615,0.0324,0.3063,0.3943,0.005963,0.000209,16.210047,0.038083,35.547001,0.106,1e-05,-5e-06,-0.003592
93B,0.0707,0.0594,0.0376,-0.6927,0.33,0.000736,3.5e-05,18.469965,0.051633,37.396999,0.12,1e-06,-1e-06,-0.00128
92P,0.0263,-0.0777,0.0287,0.1607,0.4422,0.006898,0.000143,16.053383,0.022515,35.415001,0.097,-1.6e-05,-3e-06,-0.001496
93H,0.0248,0.1963,0.0412,-2.8668,0.2425,0.003563,0.000169,16.743837,0.051566,35.095001,0.139,7e-06,-6e-06,-0.002212
93O,0.0519,-0.0666,0.0271,-0.9641,0.2376,0.001618,3.5e-05,17.62681,0.02316,36.84,0.086,-4e-06,-1e-06,0.000531
94M,0.0243,0.0812,0.0371,-1.7342,0.2579,0.005369,0.000195,16.309843,0.03951,35.070999,0.116,-1.3e-05,-6e-06,-0.000396
94T,0.0357,0.1799,0.0391,-2.0199,0.3463,0.002012,8.7e-05,17.365707,0.047117,35.848999,0.13,4e-06,-3e-06,-0.002412
96C,0.0275,0.0632,0.028,0.2116,0.298,0.004095,0.000168,16.605614,0.044416,35.619999,0.096,2.5e-05,-4e-06,-0.003901
00ca,0.0245,-0.1251,0.0156,0.2066,0.1866,0.010956,0.000179,15.555829,0.017699,35.041,0.063,-6e-06,-2e-06,-5.4e-05
00cf,0.0365,-0.0194,0.0245,-0.8203,0.202,0.002734,0.0001,17.052576,0.039777,36.162998,0.085,6e-06,-2e-06,-0.001143
00cn,0.0232,0.1396,0.0282,-2.3691,0.4623,0.004168,0.000139,16.578983,0.036092,35.125999,0.112,-4.5e-05,-3e-06,0.005335
00fa,0.0218,0.0409,0.0245,0.3487,0.1972,0.008006,0.00024,15.880014,0.03258,34.965,0.081,-2.7e-05,-4e-06,0.000337
01ba,0.0305,-0.1572,0.0176,-0.0652,0.1356,0.006163,8.5e-05,16.183729,0.014961,35.720001,0.066,-6e-06,-1e-06,-0.000152
90af,0.0502,0.0265,0.0386,-2.5976,0.5143,0.001384,3.5e-05,17.787374,0.027845,36.591999,0.13,-4e-06,-1e-06,-0.002603
92ae,0.0748,-0.0383,0.0464,-0.7463,0.3544,0.000788,4.4e-05,18.405172,0.059947,37.570999,0.141,1e-06,-2e-06,-8.9e-05
92ag,0.0259,0.1512,0.0319,-0.6525,0.2842,0.005427,0.000155,16.291292,0.030997,34.993,0.101,-1e-06,-3e-06,-0.00112
92aq,0.1009,-0.0327,0.0588,-1.7795,0.6724,0.000351,2.3e-05,19.282339,0.070554,38.323002,0.185,4e-06,-1e-06,-0.006501
92bh,0.0451,0.0509,0.03,-0.1052,0.292,0.001628,4.6e-05,17.608318,0.030646,36.619999,0.094,7e-06,-1e-06,-0.004806
92bl,0.0429,-0.0254,0.0673,-2.0786,0.3487,0.002157,0.000186,17.310684,0.093506,36.300999,0.203,1.1e-05,-1.1e-05,-0.004002
92bp,0.0789,-0.0627,0.03,-1.3773,0.3378,0.000871,1.8e-05,18.299194,0.022928,37.458,0.097,-1e-06,-0.0,-0.00054
92bs,0.0634,-0.0163,0.0293,-0.4364,0.3125,0.000878,3.4e-05,18.285597,0.042385,37.43,0.098,3e-06,-1e-06,-0.001847
93ag,0.05,0.069,0.0357,-1.1642,0.3158,0.001342,3.5e-05,17.816662,0.028412,36.668999,0.109,-3e-06,-1e-06,-0.001563
95ac,0.0488,-0.0391,0.0142,0.6265,0.166,0.002715,3.8e-05,17.061916,0.015068,36.376999,0.057,-2e-06,-0.0,-6.5e-05
95ak,0.022,0.0514,0.0435,-1.4191,0.3852,0.007395,0.00048,15.965165,0.070408,34.834,0.143,5.4e-05,-1.7e-05,-0.002792
96ab,0.1242,-0.1527,0.0309,0.0644,0.2673,0.000299,6e-06,19.467436,0.023385,39.006001,0.096,-1e-06,-0.0,0.000344
96bl,0.0348,0.0061,0.0214,-0.2091,0.2485,0.003772,8.4e-05,16.700613,0.024129,35.813,0.074,-1e-05,-1e-06,0.000879
97dg,0.0297,-0.0499,0.0216,-0.7406,0.3669,0.003377,8.1e-05,16.826231,0.026157,36.021,0.082,3e-06,-1e-06,-0.001516
98ab,0.0279,0.1002,0.022,0.2212,0.177,0.006181,0.000161,16.155043,0.028351,35.077999,0.076,-1.7e-05,-3e-06,0.000884
98eg,0.0235,0.0001,0.0267,-0.9639,0.6077,0.006557,0.000138,16.10079,0.022855,35.146999,0.104,-9e-06,-2e-06,-0.003563
98dx,0.0537,-0.1001,0.0369,-1.7716,0.5493,0.001756,6.5e-05,17.541389,0.040303,36.751999,0.128,-1.7e-05,-2e-06,0.002049
99aw,0.0392,-0.0907,0.0254,2.1423,0.3024,0.00372,9.7e-05,16.725122,0.028418,36.332001,0.095,-4e-06,-2e-06,-0.001208
99cc,0.0315,0.013,0.0196,-1.8416,0.2677,0.003519,5.8e-05,16.775143,0.017795,35.695,0.078,-4e-06,-1e-06,0.000292
99gp,0.026,-0.0026,0.0135,1.409,0.134,0.007209,9e-05,15.998181,0.013507,35.306,0.059,-6e-06,-1e-06,6.2e-05
03D1au,0.5043,-0.0363,0.0307,1.221,0.364,1.2e-05,0.0,22.988005,0.024173,42.360001,0.099,-0.0,-0.0,-0.000498
03D1aw,0.5817,0.0026,0.0371,-0.0011,0.4194,7e-06,0.0,23.582022,0.027179,42.724998,0.112,-0.0,-0.0,0.00148
03D1ax,0.496,-0.0738,0.0325,-1.0718,0.2533,1.2e-05,0.0,22.990456,0.024309,42.209999,0.099,-0.0,-0.0,-0.000245
03D1bp,0.346,0.033,0.0427,-1.0617,0.2678,1.9e-05,1e-06,22.430281,0.044492,41.383999,0.126,-0.0,-0.0,-0.00106
03D1co,0.679,-0.1038,0.0568,1.174,0.6994,4e-06,0.0,24.11772,0.061905,43.653,0.178,-0.0,-0.0,0.012133
03D1fc,0.331,-0.0343,0.0232,0.1955,0.3005,3.4e-05,1e-06,21.823862,0.029758,41.081001,0.081,-0.0,-0.0,0.001138
03D1ew,0.868,-0.003,0.084,0.3393,0.3962,3e-06,0.0,24.32654,0.038315,43.52,0.221,-0.0,0.0,0.014137
03D1fl,0.688,-0.1124,0.0365,-0.0756,0.3365,7e-06,0.0,23.612911,0.023343,43.035999,0.108,-0.0,0.0,-0.000258
03D1fq,0.8,-0.1081,0.0696,-1.4557,0.6369,3e-06,0.0,24.562414,0.040445,43.826,0.197,-0.0,0.0,0.015973
03D3af,0.532,-0.0209,0.0499,-0.3309,0.3452,7e-06,0.0,23.501617,0.03415,42.667999,0.139,-0.0,-0.0,-0.002306
03D3ba,0.2912,0.1139,0.0481,0.5541,0.3071,3e-05,1e-06,21.955088,0.049609,40.880001,0.14,-0.0,-0.0,-0.004564
03D3bh,0.2486,-0.089,0.0672,0.6868,0.356,5.8e-05,5e-06,21.24452,0.092353,40.691002,0.2,-1e-06,-0.0,-0.002015
03D3aw,0.449,-0.1232,0.048,-0.4324,0.4222,1.8e-05,1e-06,22.542744,0.060837,41.953999,0.148,-0.0,-0.0,0.002402
03D3ay,0.3709,-0.088,0.042,0.2593,0.4068,2.3e-05,1e-06,22.240835,0.061273,41.639,0.135,-0.0,-0.0,0.000656
03D3cc,0.4627,-0.0362,0.0536,0.5799,0.4737,1.4e-05,1e-06,22.752611,0.058309,42.055,0.159,-0.0,-0.0,0.011972
03D3cd,0.4607,-0.0422,0.0543,1.8237,1.2762,1.7e-05,1e-06,22.602091,0.094633,42.053001,0.221,-2e-06,-0.0,0.050787
03D4ag,0.285,-0.1669,0.0239,0.9174,0.3037,5.9e-05,2e-06,21.230375,0.041638,40.896,0.093,-1e-06,-0.0,-0.000672
03D4at,0.633,-0.1195,0.0482,-0.2798,0.3739,6e-06,0.0,23.745176,0.026548,43.164001,0.136,-0.0,-0.0,-0.001423
03D4dh,0.6268,-0.0571,0.0366,0.9822,0.2927,8e-06,0.0,23.384411,0.026404,42.783001,0.108,-0.0,-0.0,0.000534
03D4di,0.905,-0.0669,0.0835,0.9384,0.4167,4e-06,0.0,24.273954,0.044872,43.692001,0.222,-0.0,0.0,0.013984
03D4cx,0.949,0.0359,0.1052,-0.6639,0.565,3e-06,0.0,24.526623,0.055561,43.515999,0.278,0.0,0.0,0.03064
03D4cy,0.9271,-0.0914,0.0939,0.1075,0.4303,3e-06,0.0,24.578978,0.053688,43.969002,0.248,-0.0,0.0,0.017944
03D4cz,0.695,-0.07,0.0691,-2.113,0.5272,4e-06,0.0,24.067482,0.054148,43.166,0.197,-0.0,-0.0,0.008173
03D4dy,0.604,0.026,0.0356,0.9607,0.2548,9e-06,0.0,23.298494,0.02582,42.487,0.105,-0.0,-0.0,0.000685
03D4fd,0.791,-0.1094,0.0623,-0.0597,0.5502,4e-06,0.0,24.24052,0.028646,43.658001,0.174,-0.0,0.0,0.013756
03D4gf,0.581,-0.1029,0.0351,0.3792,0.4363,8e-06,0.0,23.344023,0.018873,42.792,0.109,-0.0,-0.0,-0.000304
03D4gg,0.592,0.0085,0.0438,0.2367,0.5769,8e-06,0.0,23.401402,0.026602,42.556,0.133,-0.0,0.0,0.001726
04D1aj,0.721,-0.0553,0.0482,0.8553,0.6641,5e-06,0.0,23.88265,0.034826,43.263,0.15,-0.0,0.0,0.00825
04D1ak,0.526,0.0202,0.0754,-1.8725,0.6047,6e-06,0.0,23.637985,0.068186,42.536999,0.217,-0.0,-0.0,0.02143
04D2gb,0.43,-0.0051,0.0456,-2.2135,0.4272,1.3e-05,1e-06,22.84939,0.048534,41.775002,0.143,-0.0,-0.0,0.003392
04D2fp,0.415,-0.0518,0.0259,0.3109,0.2771,1.7e-05,0.0,22.56168,0.027625,41.874001,0.085,-0.0,-0.0,0.000891
04D2fs,0.357,0.0508,0.022,0.0796,0.2489,1.9e-05,0.0,22.421515,0.027069,41.452999,0.076,-0.0,-0.0,0.000191
04D2gp,0.707,-0.0898,0.0918,-2.0435,0.6609,4e-06,0.0,24.155546,0.05936,43.311001,0.253,-0.0,0.0,0.009378
04D2ja,0.741,-0.1997,0.0628,0.0159,0.5674,4e-06,0.0,24.129818,0.048543,43.780998,0.182,-0.0,0.0,0.001175
04D2iu,0.691,0.0582,0.0941,-1.7988,0.7597,3e-06,0.0,24.27755,0.063035,43.089001,0.262,-0.0,0.0,-0.00086
04D3co,0.62,-0.1019,0.0508,-0.5377,0.3484,6e-06,0.0,23.79818,0.039889,43.145,0.144,-0.0,-0.0,0.003238
04D3dd,1.01,-0.0541,0.117,0.5558,0.5777,2e-06,0.0,24.960087,0.081745,44.305,0.312,0.0,0.0,0.03244
04D3cp,0.83,-0.331,0.0641,0.8746,0.3777,4e-06,0.0,24.169043,0.034234,44.240002,0.182,-0.0,0.0,0.007699
04D3df,0.47,0.1726,0.0435,-1.7609,0.4018,7e-06,0.0,23.565039,0.042115,42.095001,0.137,-0.0,-0.0,0.003574
04D3cy,0.643,-0.0431,0.0432,0.5687,0.3728,5e-06,0.0,23.811024,0.036964,43.130001,0.127,-0.0,-0.0,0.002755
04D3do,0.61,-0.1229,0.0418,-1.2589,0.291,7e-06,0.0,23.580944,0.03039,42.903,0.123,-0.0,-0.0,0.000305
04D3fk,0.3578,0.0892,0.0205,-0.2892,0.1834,1.7e-05,0.0,22.536877,0.024465,41.432999,0.071,-0.0,-0.0,0.000585
04D3ez,0.263,0.0321,0.0226,-0.8724,0.2343,3.9e-05,1e-06,21.669777,0.025324,40.646,0.078,-0.0,-0.0,0.000166
04D3fq,0.73,-0.0937,0.0526,-0.5664,0.4235,4e-06,0.0,24.119638,0.029238,43.443001,0.148,-0.0,0.0,0.00251
04D3gt,0.451,0.2287,0.024,-0.2667,0.1909,9e-06,0.0,23.228014,0.021904,41.778,0.085,-0.0,-0.0,4.3e-05
04D3gx,0.91,-0.2343,0.0958,-0.3826,0.5129,2e-06,0.0,24.71324,0.045984,44.408001,0.255,-0.0,0.0,0.026036
04D3hn,0.5516,0.1746,0.0335,-0.8235,0.2182,7e-06,0.0,23.504293,0.023864,42.129002,0.102,-0.0,-0.0,0.000163
04D3is,0.71,0.1907,0.0492,0.1267,0.4347,4e-06,0.0,24.234505,0.035433,42.921001,0.144,-0.0,0.0,0.004456
04D3ki,0.93,0.0193,0.1129,-1.4813,0.4497,2e-06,0.0,24.744709,0.060036,43.688,0.296,-0.0,0.0,0.0273
04D3kr,0.3373,-0.0513,0.0248,1.3103,0.3134,3e-05,1e-06,21.960201,0.035863,41.379002,0.091,-0.0,-0.0,0.001587
04D3ks,0.752,-0.1346,0.0604,0.4162,0.5375,5e-06,0.0,23.877653,0.043333,43.409,0.173,-0.0,0.0,0.011097
04D4an,0.613,0.0266,0.0492,-1.6611,0.564,4e-06,0.0,24.038816,0.042135,42.944,0.151,-0.0,-0.0,0.005586
